County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,17,566,"3,941","4,547",40,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,27,"5,569","12,500","18,354",285,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,34,"3,419","4,016","7,534",99,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,11,304,"2,320","2,640",16,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,19,93,"1,065","1,160",2,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,6,"132,080","104,584","239,972","3,308",,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,12,"125,482","152,803","283,117","4,832",,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,24,"60,645","78,188","141,147","2,314",,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,25,"1,237","2,391","3,697",69,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,26,"31,489","52,665","85,560","1,406",,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,33,"60,634","19,110","80,800","1,056",,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,10,"107,413","37,369","147,489","2,707",,,,,,,,,,,,,,,,,,,,
